sample,fastq,cell_count
ERR9958133,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR995/003/ERR9958133/ERR9958133.fastq.gz,1000
ERR9958134,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR995/004/ERR9958134/ERR9958134.fastq.gz,1000
